iter	MAPE
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	0.9999999999
261	0.9999999999
262	0.9999999999
263	0.9999999999
264	0.9999999999
265	0.9999999999
266	0.9999999999
267	0.9999999999
268	0.9999999999
269	0.9999999999
270	0.9999999999
271	0.9999999999
272	0.9999999999
273	0.9999999999
274	0.9999999999
275	0.9999999999
276	0.9999999999
277	0.9999999999
278	0.9999999999
279	0.9999999999
280	0.9999999999
281	0.9999999999
282	0.9999999999
283	0.9999999999
284	0.9999999999
285	0.9999999999
286	0.9999999999
287	0.9999999999
288	0.9999999999
289	0.9999999999
290	0.9999999999
291	0.9999999999
292	0.9999999999
293	0.9999999999
294	0.9999999999
295	0.9999999999
296	0.9999999999
297	0.9999999999
298	0.9999999999
299	0.9999999999
300	0.9999999999
301	0.9999999999
302	0.9999999999
303	0.9999999999
304	0.9999999999
305	0.9999999999
306	0.9999999999
307	0.9999999999
308	0.9999999999
309	0.9999999999
310	0.9999999999
311	0.9999999999
312	0.9999999999
313	0.9999999999
314	0.9999999999
315	0.9999999999
316	0.9999999999
317	0.9999999999
318	0.9999999999
319	0.9999999999
320	0.9999999999
321	0.9999999999
322	0.9999999999
323	0.9999999999
324	0.9999999999
325	0.9999999999
326	0.9999999999
327	0.9999999999
328	0.9999999999
329	0.9999999999
330	0.9999999999
331	0.9999999999
332	0.9999999999
333	0.9999999999
334	0.9999999999
335	0.9999999999
336	0.9999999999
337	0.9999999999
338	0.9999999999
339	0.9999999999
340	0.9999999999
341	0.9999999999
342	0.9999999999
343	0.9999999999
344	0.9999999999
345	0.9999999999
346	0.9999999999
347	0.9999999999
348	0.9999999999
349	0.9999999999
350	0.9999999999
351	0.9999999999
352	0.9999999999
353	0.9999999999
354	0.9999999999
355	0.9999999999
356	0.9999999999
357	0.9999999999
358	0.9999999999
359	0.9999999999
360	0.9999999999
361	0.9999999999
362	0.9999999999
363	0.9999999999
364	0.9999999999
365	0.9999999999
366	0.9999999999
367	0.9999999999
368	0.9999999999
369	0.9999999999
370	0.9999999999
371	0.9999999999
372	0.9999999999
373	0.9999999999
374	0.9999999999
375	0.9999999999
376	0.9999999999
377	0.9999999999
378	0.9999999999
379	0.9999999999
380	0.9999999999
381	0.9999999999
382	0.9999999999
383	0.9999999999
384	0.9999999999
385	0.9999999999
386	0.9999999999
387	0.9999999999
388	0.9999999999
389	0.9999999999
390	0.9999999999
391	0.9999999999
392	0.9999999999
393	0.9999999999
394	0.9999999999
395	0.9999999999
396	0.9999999999
397	0.9999999999
398	0.9999999999
399	0.9999999999
400	0.9999999999
401	0.9999999999
402	0.9999999999
403	0.9999999999
404	0.9999999999
405	0.9999999999
406	0.9999999999
407	0.9999999999
408	0.9999999999
409	0.9999999999
410	0.9999999999
411	0.9999999999
412	0.9999999999
413	0.9999999999
414	0.9999999999
415	0.9999999999
416	0.9999999999
417	0.9999999999
418	0.9999999999
419	0.9999999999
420	0.9999999999
421	0.9999999999
422	0.9999999999
423	0.9999999999
424	0.9999999999
425	0.9999999999
426	0.9999999999
427	0.9999999999
428	0.9999999999
429	0.9999999999
430	0.9999999999
431	0.9999999999
432	0.9999999999
433	0.9999999999
434	0.9999999999
435	0.9999999999
436	0.9999999999
437	0.9999999999
438	0.9999999999
439	0.9999999999
440	0.9999999999
441	0.9999999999
442	0.9999999999
443	0.9999999999
444	0.9999999999
445	0.9999999999
446	0.9999999999
447	0.9999999999
448	0.9999999999
449	0.9999999999
450	0.9999999999
451	0.9999999999
452	0.9999999999
453	0.9999999999
454	0.9999999999
455	0.9999999999
456	0.9999999999
457	0.9999999999
458	0.9999999999
459	0.9999999999
460	0.9999999999
461	0.9999999999
462	0.9999999999
463	0.9999999999
464	0.9999999999
465	0.9999999999
466	0.9999999999
467	0.9999999999
468	0.9999999999
469	0.9999999999
470	0.9999999999
471	0.9999999999
472	0.9999999999
473	0.9999999999
474	0.9999999999
475	0.9999999999
476	0.9999999999
477	0.9999999999
478	0.9999999999
479	0.9999999999
480	0.9999999999
481	0.9999999999
482	0.9999999999
483	0.9999999999
484	0.9999999999
485	0.9999999999
486	0.9999999999
487	0.9999999999
488	0.9999999999
489	0.9999999999
490	0.9999999999
491	0.9999999999
492	0.9999999999
493	0.9999999999
494	0.9999999999
495	0.9999999999
496	0.9999999999
497	0.9999999999
498	0.9999999999
499	0.9999999999
500	0.9999999999
501	0.9999999999
502	0.9999999999
503	0.9999999999
504	0.9999999999
