,ACTUAL
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-15,
2010-05-16,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-22,
2010-05-23,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-29,
2010-05-30,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-05,
2010-06-06,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-12,
2010-06-13,
2010-06-14,
2010-06-15,
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-19,
2010-06-20,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-26,
2010-06-27,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-03,
2010-07-04,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-10,
2010-07-11,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-17,
2010-07-18,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-24,
2010-07-25,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-07-31,
2010-08-01,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-07,
2010-08-08,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-14,
2010-08-15,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-21,
2010-08-22,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-28,
2010-08-29,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-04,
2010-09-05,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-11,
2010-09-12,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-18,
2010-09-19,
2010-09-20,
2010-09-21,
2010-09-22,
2010-09-23,
2010-09-24,
2010-09-25,
2010-09-26,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,
2010-10-01,
2010-10-02,
2010-10-03,
2010-10-04,
2010-10-05,
2010-10-06,
2010-10-07,
2010-10-08,
2010-10-09,
2010-10-10,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-16,
2010-10-17,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-23,
2010-10-24,
2010-10-25,
2010-10-26,
2010-10-27,
2010-10-28,
2010-10-29,
2010-10-30,
2010-10-31,
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-06,
2010-11-07,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,
2010-11-13,
2010-11-14,
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-20,
2010-11-21,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-25,
2010-11-26,
2010-11-27,
2010-11-28,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,
2010-12-03,
2010-12-04,
2010-12-05,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-11,
2010-12-12,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-18,
2010-12-19,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-24,
2010-12-25,
2010-12-26,
2010-12-27,
2010-12-28,
2010-12-29,
2010-12-30,
2010-12-31,
2011-01-01,133467.0
2011-01-02,136903.0
2011-01-03,132878.0
2011-01-04,138633.0
2011-01-05,141743.0
2011-01-06,143738.0
2011-01-07,143396.0
2011-01-08,147785.0
2011-01-09,145757.0
2011-01-10,148277.0
2011-01-11,161605.0
2011-01-12,165878.0
2011-01-13,161261.0
2011-01-14,160351.0
2011-01-15,161435.0
2011-01-16,150397.0
2011-01-17,148814.0
2011-01-18,162291.0
2011-01-19,166600.0
2011-01-20,169941.0
2011-01-21,167720.0
2011-01-22,167334.0
2011-01-23,158718.0
2011-01-24,154398.0
2011-01-25,168356.0
2011-01-26,167154.0
2011-01-27,166281.0
2011-01-28,166982.0
2011-01-29,166296.0
2011-01-30,152056.0
2011-01-31,149006.0
2011-02-01,165570.0
2011-02-02,165837.0
2011-02-03,165518.0
2011-02-04,165175.0
2011-02-05,166321.0
2011-02-06,155934.0
2011-02-07,151975.0
2011-02-08,166292.0
2011-02-09,167352.0
2011-02-10,167569.0
2011-02-11,166142.0
2011-02-12,167943.0
2011-02-13,158005.0
2011-02-14,151696.0
2011-02-15,165849.0
2011-02-16,164489.0
2011-02-17,164083.0
2011-02-18,165974.0
2011-02-19,163704.0
2011-02-20,150641.0
2011-02-21,150361.0
2011-02-22,149017.0
2011-02-23,147301.0
2011-02-24,161820.0
2011-02-25,161601.0
2011-02-26,159248.0
2011-02-27,152530.0
2011-02-28,142234.0
2011-03-01,154284.0
2011-03-02,156150.0
2011-03-03,156585.0
2011-03-04,156629.0
2011-03-05,154871.0
2011-03-06,145933.0
2011-03-07,140333.0
2011-03-08,140347.0
2011-03-09,154451.0
2011-03-10,156437.0
2011-03-11,154786.0
2011-03-12,154659.0
2011-03-13,144288.0
2011-03-14,139344.0
2011-03-15,153618.0
2011-03-16,153503.0
2011-03-17,153813.0
2011-03-18,154166.0
2011-03-19,153920.0
2011-03-20,143842.0
2011-03-21,139968.0
2011-03-22,151998.0
2011-03-23,150947.0
2011-03-24,150654.0
2011-03-25,149427.0
2011-03-26,148524.0
2011-03-27,138283.0
2011-03-28,129731.0
2011-03-29,147397.0
2011-03-30,146306.0
2011-03-31,145794.0
2011-04-01,144620.0
2011-04-02,141009.0
2011-04-03,130631.0
2011-04-04,127182.0
2011-04-05,140193.0
2011-04-06,138374.0
2011-04-07,137622.0
2011-04-08,136503.0
2011-04-09,137209.0
2011-04-10,129116.0
2011-04-11,124327.0
2011-04-12,138331.0
2011-04-13,137505.0
2011-04-14,138466.0
2011-04-15,137687.0
2011-04-16,136618.0
2011-04-17,127008.0
2011-04-18,120828.0
2011-04-19,134710.0
2011-04-20,133872.0
2011-04-21,132154.0
2011-04-22,132065.0
2011-04-23,128334.0
2011-04-24,117450.0
2011-04-25,112529.0
2011-04-26,126893.0
2011-04-27,129557.0
2011-04-28,131831.0
2011-04-29,132033.0
2011-04-30,126687.0
2011-05-01,110992.0
2011-05-02,107499.0
2011-05-03,107726.0
2011-05-04,122056.0
2011-05-05,122310.0
2011-05-06,120387.0
2011-05-07,118810.0
2011-05-08,109088.0
2011-05-09,105808.0
2011-05-10,106575.0
2011-05-11,118662.0
2011-05-12,121750.0
2011-05-13,121919.0
2011-05-14,123022.0
2011-05-15,112931.0
2011-05-16,108559.0
2011-05-17,122731.0
2011-05-18,123845.0
2011-05-19,124081.0
2011-05-20,125573.0
2011-05-21,124709.0
2011-05-22,115233.0
2011-05-23,108777.0
2011-05-24,122549.0
2011-05-25,124571.0
2011-05-26,125569.0
2011-05-27,125902.0
2011-05-28,125384.0
2011-05-29,115712.0
2011-05-30,109347.0
2011-05-31,124492.0
2011-06-01,123921.0
2011-06-02,123951.0
2011-06-03,123739.0
2011-06-04,124956.0
2011-06-05,114656.0
2011-06-06,108587.0
2011-06-07,122005.0
2011-06-08,123879.0
2011-06-09,123730.0
2011-06-10,124447.0
2011-06-11,123799.0
2011-06-12,110019.0
2011-06-13,108336.0
2011-06-14,110329.0
2011-06-15,121873.0
2011-06-16,125373.0
2011-06-17,126069.0
2011-06-18,124896.0
2011-06-19,114507.0
2011-06-20,109399.0
2011-06-21,123315.0
2011-06-22,123637.0
2011-06-23,124118.0
2011-06-24,124810.0
2011-06-25,125000.0
2011-06-26,116626.0
2011-06-27,110154.0
2011-06-28,125744.0
2011-06-29,128341.0
2011-06-30,128961.0
2011-07-01,129315.0
2011-07-02,127502.0
2011-07-03,117800.0
2011-07-04,113109.0
2011-07-05,127277.0
2011-07-06,128093.0
2011-07-07,128747.0
2011-07-08,128657.0
2011-07-09,128947.0
2011-07-10,118987.0
2011-07-11,114085.0
2011-07-12,128123.0
2011-07-13,129576.0
2011-07-14,128834.0
2011-07-15,128185.0
2011-07-16,128023.0
2011-07-17,119931.0
2011-07-18,116415.0
2011-07-19,129736.0
2011-07-20,128886.0
2011-07-21,129514.0
2011-07-22,130116.0
2011-07-23,131230.0
2011-07-24,122223.0
2011-07-25,118058.0
2011-07-26,132067.0
2011-07-27,133303.0
2011-07-28,132846.0
2011-07-29,133185.0
2011-07-30,134306.0
2011-07-31,124642.0
2011-08-01,121275.0
2011-08-02,131772.0
2011-08-03,131419.0
2011-08-04,131693.0
2011-08-05,132525.0
2011-08-06,130724.0
2011-08-07,121990.0
2011-08-08,120320.0
2011-08-09,132498.0
2011-08-10,132383.0
2011-08-11,131626.0
2011-08-12,131517.0
2011-08-13,131346.0
2011-08-14,122137.0
2011-08-15,117970.0
2011-08-16,130079.0
2011-08-17,128003.0
2011-08-18,127226.0
2011-08-19,125738.0
2011-08-20,126698.0
2011-08-21,117986.0
2011-08-22,111883.0
2011-08-23,125120.0
2011-08-24,126179.0
2011-08-25,125234.0
2011-08-26,124262.0
2011-08-27,124643.0
2011-08-28,115916.0
2011-08-29,111078.0
2011-08-30,122228.0
2011-08-31,125042.0
2011-09-01,127354.0
2011-09-02,128874.0
2011-09-03,127139.0
2011-09-04,118026.0
2011-09-05,114871.0
2011-09-06,126722.0
2011-09-07,128122.0
2011-09-08,130116.0
2011-09-09,129452.0
2011-09-10,130804.0
2011-09-11,122007.0
2011-09-12,115880.0
2011-09-13,129038.0
2011-09-14,130688.0
2011-09-15,132117.0
2011-09-16,131723.0
2011-09-17,131262.0
2011-09-18,120940.0
2011-09-19,114731.0
2011-09-20,130143.0
2011-09-21,129462.0
2011-09-22,129046.0
2011-09-23,130584.0
2011-09-24,131476.0
2011-09-25,120393.0
2011-09-26,115165.0
2011-09-27,129024.0
2011-09-28,128969.0
2011-09-29,130487.0
2011-09-30,131851.0
2011-10-01,133800.0
2011-10-02,126002.0
2011-10-03,120526.0
2011-10-04,134880.0
2011-10-05,138378.0
2011-10-06,140201.0
2011-10-07,144316.0
2011-10-08,146591.0
2011-10-09,133665.0
2011-10-10,131436.0
2011-10-11,144061.0
2011-10-12,145359.0
2011-10-13,147895.0
2011-10-14,147936.0
2011-10-15,148399.0
2011-10-16,135761.0
2011-10-17,129662.0
2011-10-18,146741.0
2011-10-19,148559.0
2011-10-20,148966.0
2011-10-21,150519.0
2011-10-22,151283.0
2011-10-23,140524.0
2011-10-24,134526.0
2011-10-25,151103.0
2011-10-26,150609.0
2011-10-27,150234.0
2011-10-28,151929.0
2011-10-29,152171.0
2011-10-30,143194.0
2011-10-31,136928.0
2011-11-01,152401.0
2011-11-02,152212.0
2011-11-03,153983.0
2011-11-04,139005.0
2011-11-05,138543.0
2011-11-06,139116.0
2011-11-07,138149.0
2011-11-08,148130.0
2011-11-09,152491.0
2011-11-10,152296.0
2011-11-11,152138.0
2011-11-12,151432.0
2011-11-13,150065.0
2011-11-14,137587.0
2011-11-15,149209.0
2011-11-16,149725.0
2011-11-17,152331.0
2011-11-18,152053.0
2011-11-19,152538.0
2011-11-20,146390.0
2011-11-21,141013.0
2011-11-22,155130.0
2011-11-23,158040.0
2011-11-24,158000.0
2011-11-25,157664.0
2011-11-26,156860.0
2011-11-27,148552.0
2011-11-28,142295.0
2011-11-29,158666.0
2011-11-30,159668.0
2011-12-01,165565.0
2011-12-02,168129.0
2011-12-03,170743.0
2011-12-04,161790.0
2011-12-05,152912.0
2011-12-06,165616.0
2011-12-07,163525.0
2011-12-08,163201.0
2011-12-09,163922.0
2011-12-10,163040.0
2011-12-11,152337.0
2011-12-12,145891.0
2011-12-13,162531.0
2011-12-14,165194.0
2011-12-15,164535.0
2011-12-16,165393.0
2011-12-17,162413.0
2011-12-18,156951.0
2011-12-19,151150.0
2011-12-20,167591.0
2011-12-21,170905.0
2011-12-22,172016.0
2011-12-23,168913.0
2011-12-24,169500.0
2011-12-25,157595.0
2011-12-26,151540.0
2011-12-27,165511.0
2011-12-28,164693.0
2011-12-29,163551.0
2011-12-30,161279.0
2011-12-31,149992.0
2012-01-01,135936.0
2012-01-02,136629.0
2012-01-03,140294.0
2012-01-04,145161.0
2012-01-05,147902.0
2012-01-06,147531.0
2012-01-07,146114.0
2012-01-08,148133.0
2012-01-09,148065.0
2012-01-10,150963.0
2012-01-11,166862.0
2012-01-12,166975.0
2012-01-13,166922.0
2012-01-14,165318.0
2012-01-15,155034.0
2012-01-16,150685.0
2012-01-17,164217.0
2012-01-18,167804.0
2012-01-19,169952.0
2012-01-20,169795.0
2012-01-21,171505.0
2012-01-22,163253.0
2012-01-23,156977.0
2012-01-24,168390.0
2012-01-25,169536.0
2012-01-26,169047.0
2012-01-27,168824.0
2012-01-28,168510.0
2012-01-29,159745.0
2012-01-30,153340.0
2012-01-31,167364.0
2012-02-01,166886.0
2012-02-02,167466.0
2012-02-03,167368.0
2012-02-04,165414.0
2012-02-05,155853.0
2012-02-06,150630.0
2012-02-07,162574.0
2012-02-08,165128.0
2012-02-09,165165.0
2012-02-10,166445.0
2012-02-11,167827.0
2012-02-12,159242.0
2012-02-13,153007.0
2012-02-14,166189.0
2012-02-15,169546.0
2012-02-16,170249.0
2012-02-17,172024.0
2012-02-18,172807.0
2012-02-19,165403.0
2012-02-20,159735.0
2012-02-21,174827.0
2012-02-22,176131.0
2012-02-23,163562.0
2012-02-24,174475.0
2012-02-25,174420.0
2012-02-26,164542.0
2012-02-27,158513.0
2012-02-28,172805.0
2012-02-29,174444.0
2012-03-01,173361.0
2012-03-02,170955.0
2012-03-03,170303.0
2012-03-04,167009.0
2012-03-05,153259.0
2012-03-06,151101.0
2012-03-07,149475.0
2012-03-08,165729.0
2012-03-09,160575.0
2012-03-10,159379.0
2012-03-11,148967.0
2012-03-12,144773.0
2012-03-13,159694.0
2012-03-14,160092.0
2012-03-15,158264.0
2012-03-16,156421.0
2012-03-17,156980.0
2012-03-18,148407.0
2012-03-19,142418.0
2012-03-20,155770.0
2012-03-21,154884.0
2012-03-22,155223.0
2012-03-23,155248.0
2012-03-24,155249.0
2012-03-25,147160.0
2012-03-26,134658.0
2012-03-27,153719.0
2012-03-28,155658.0
2012-03-29,155670.0
2012-03-30,154877.0
2012-03-31,154294.0
2012-04-01,143312.0
2012-04-02,137695.0
2012-04-03,150792.0
2012-04-04,148447.0
2012-04-05,147110.0
2012-04-06,147716.0
2012-04-07,146609.0
2012-04-08,137131.0
2012-04-09,134046.0
2012-04-10,147805.0
2012-04-11,147725.0
2012-04-12,146777.0
2012-04-13,144769.0
2012-04-14,145608.0
2012-04-15,136819.0
2012-04-16,131022.0
2012-04-17,142296.0
2012-04-18,144345.0
2012-04-19,145380.0
2012-04-20,146562.0
2012-04-21,145212.0
2012-04-22,135400.0
2012-04-23,126527.0
2012-04-24,141791.0
2012-04-25,139791.0
2012-04-26,137336.0
2012-04-27,134151.0
2012-04-28,131658.0
2012-04-29,123056.0
2012-04-30,114342.0
2012-05-01,114553.0
2012-05-02,129610.0
2012-05-03,130288.0
2012-05-04,129945.0
2012-05-05,129238.0
2012-05-06,117893.0
2012-05-07,113423.0
2012-05-08,111170.0
2012-05-09,127147.0
2012-05-10,127752.0
2012-05-11,128705.0
2012-05-12,128846.0
2012-05-13,119599.0
2012-05-14,113567.0
2012-05-15,128287.0
2012-05-16,130151.0
2012-05-17,130654.0
2012-05-18,129765.0
2012-05-19,129088.0
2012-05-20,118665.0
2012-05-21,114034.0
2012-05-22,127900.0
2012-05-23,127488.0
2012-05-24,128721.0
2012-05-25,129229.0
2012-05-26,129784.0
2012-05-27,120916.0
2012-05-28,114463.0
2012-05-29,128097.0
2012-05-30,127747.0
2012-05-31,127895.0
2012-06-01,127690.0
2012-06-02,127432.0
2012-06-03,120823.0
2012-06-04,115892.0
2012-06-05,128623.0
2012-06-06,129421.0
2012-06-07,131488.0
2012-06-08,130997.0
2012-06-09,130802.0
2012-06-10,121128.0
2012-06-11,113549.0
2012-06-12,113365.0
2012-06-13,128074.0
2012-06-14,130016.0
2012-06-15,130370.0
2012-06-16,130732.0
2012-06-17,120427.0
2012-06-18,114695.0
2012-06-19,128638.0
2012-06-20,129439.0
2012-06-21,128936.0
2012-06-22,127183.0
2012-06-23,128149.0
2012-06-24,119423.0
2012-06-25,113671.0
2012-06-26,127377.0
2012-06-27,129689.0
2012-06-28,129358.0
2012-06-29,130200.0
2012-06-30,129173.0
2012-07-01,120276.0
2012-07-02,115074.0
2012-07-03,128206.0
2012-07-04,131830.0
2012-07-05,130924.0
2012-07-06,131891.0
2012-07-07,132657.0
2012-07-08,123896.0
2012-07-09,118429.0
2012-07-10,130140.0
2012-07-11,129015.0
2012-07-12,130253.0
2012-07-13,131713.0
2012-07-14,132242.0
2012-07-15,122657.0
2012-07-16,117393.0
2012-07-17,131558.0
2012-07-18,133526.0
2012-07-19,133677.0
2012-07-20,134384.0
2012-07-21,134878.0
2012-07-22,124621.0
2012-07-23,119108.0
2012-07-24,133616.0
2012-07-25,136355.0
2012-07-26,137173.0
2012-07-27,136946.0
2012-07-28,135678.0
2012-07-29,125078.0
2012-07-30,120724.0
2012-07-31,134673.0
2012-08-01,133288.0
2012-08-02,133364.0
2012-08-03,131615.0
2012-08-04,130629.0
2012-08-05,121801.0
2012-08-06,116210.0
2012-08-07,131426.0
2012-08-08,130296.0
2012-08-09,130796.0
2012-08-10,133662.0
2012-08-11,133526.0
2012-08-12,124710.0
2012-08-13,119452.0
2012-08-14,132919.0
2012-08-15,133813.0
2012-08-16,132000.0
2012-08-17,130089.0
2012-08-18,129956.0
2012-08-19,119563.0
2012-08-20,115676.0
2012-08-21,127843.0
2012-08-22,128876.0
2012-08-23,128716.0
2012-08-24,128621.0
2012-08-25,128057.0
2012-08-26,119968.0
2012-08-27,116163.0
2012-08-28,126667.0
2012-08-29,127588.0
2012-08-30,130177.0
2012-08-31,131601.0
2012-09-01,130328.0
2012-09-02,119964.0
2012-09-03,116095.0
2012-09-04,129434.0
2012-09-05,131798.0
2012-09-06,133514.0
2012-09-07,133804.0
2012-09-08,134425.0
2012-09-09,124435.0
2012-09-10,119078.0
2012-09-11,133140.0
2012-09-12,135106.0
2012-09-13,135456.0
2012-09-14,134300.0
2012-09-15,133730.0
2012-09-16,124497.0
2012-09-17,119689.0
2012-09-18,132404.0
2012-09-19,135894.0
2012-09-20,136955.0
2012-09-21,137223.0
2012-09-22,138861.0
2012-09-23,130641.0
2012-09-24,123360.0
2012-09-25,139223.0
2012-09-26,142031.0
2012-09-27,143196.0
2012-09-28,144544.0
2012-09-29,144815.0
2012-09-30,133755.0
2012-10-01,129478.0
2012-10-02,145523.0
2012-10-03,148017.0
2012-10-04,148222.0
2012-10-05,148026.0
2012-10-06,145483.0
2012-10-07,133319.0
2012-10-08,130956.0
2012-10-09,145629.0
2012-10-10,147285.0
2012-10-11,148237.0
2012-10-12,148390.0
2012-10-13,147445.0
2012-10-14,138471.0
2012-10-15,132174.0
2012-10-16,149461.0
2012-10-17,152226.0
2012-10-18,151855.0
2012-10-19,153866.0
2012-10-20,153905.0
2012-10-21,142314.0
2012-10-22,137764.0
2012-10-23,152152.0
2012-10-24,154715.0
2012-10-25,156793.0
2012-10-26,158134.0
2012-10-27,159289.0
2012-10-28,148886.0
2012-10-29,142892.0
2012-10-30,159912.0
2012-10-31,159289.0
2012-11-01,158989.0
2012-11-02,155310.0
2012-11-03,143816.0
2012-11-04,143294.0
2012-11-05,144077.0
2012-11-06,158212.0
2012-11-07,163964.0
2012-11-08,166506.0
2012-11-09,166852.0
2012-11-10,167852.0
2012-11-11,155710.0
2012-11-12,150664.0
2012-11-13,166516.0
2012-11-14,167515.0
2012-11-15,168182.0
2012-11-16,168373.0
2012-11-17,167042.0
2012-11-18,157261.0
2012-11-19,150799.0
2012-11-20,168039.0
2012-11-21,168799.0
2012-11-22,170444.0
2012-11-23,171651.0
2012-11-24,172062.0
2012-11-25,161120.0
2012-11-26,154232.0
2012-11-27,168652.0
2012-11-28,170010.0
2012-11-29,169373.0
2012-11-30,168712.0
2013-01-01,168260.0
2013-02-01,160391.0
2013-03-01,153719.0
2013-04-01,166688.0
2013-05-01,166786.0
2013-06-01,165301.0
2013-07-01,166838.0
2013-08-01,168258.0
2013-09-01,160524.0
2013-10-01,156446.0
2013-11-01,170002.0
2013-12-01,171477.0
2014-01-01,170403.0
2014-02-01,170453.0
2014-03-01,168952.0
2014-04-01,161207.0
2014-05-01,156555.0
2014-06-01,170628.0
2014-07-01,171921.0
2014-08-01,172495.0
2014-09-01,172584.0
2014-10-01,171954.0
2014-11-01,162245.0
2014-12-01,158100.0
2015-01-01,172713.0
2015-02-01,170609.0
2015-03-01,168478.0
2015-04-01,165665.0
2015-05-01,160181.0
2015-06-01,149158.0
